weekDate,quantity_weekly
2018-05-28,24
2018-06-04,70
2018-06-11,63
2018-06-18,47
2018-06-25,36
2018-07-02,9
2018-07-09,7
2018-07-16,11
2018-07-23,3
2018-07-30,8
2018-08-06,7
2018-08-13,5
2018-08-20,7
2018-08-27,17
2018-09-03,21
2018-09-10,17
2018-09-17,23
2018-09-24,14
2018-10-01,12
2018-10-08,9
2018-10-15,11
2018-10-22,19
2018-10-29,18
2018-11-05,64
2018-11-12,59
2018-11-19,28
2018-11-26,16
2018-12-03,25
2018-12-10,18
2018-12-17,20
2018-12-24,14
2018-12-31,17
2019-01-07,12
2019-01-14,11
2019-01-21,21
2019-01-28,17
2019-02-04,16
2019-02-11,16
2019-02-18,13
2019-02-25,14
2019-03-04,16
2019-03-11,24
2019-03-18,25
2019-03-25,23
2019-04-01,73
2019-04-08,63
2019-04-15,40
2019-04-22,36
2019-04-29,51
2019-05-06,13
2019-05-13,13
2019-05-20,23
2019-05-27,10
2019-06-03,23
2019-06-10,19
2019-06-17,18
2019-06-24,11
2019-07-01,10
2019-07-08,11
2019-07-15,20
2019-07-22,5
2019-07-29,10
2019-08-05,14
2019-08-12,8
2019-08-19,10
2019-08-26,26
2019-09-02,19
2019-09-09,26
2019-09-16,23
2019-09-23,22
2019-09-30,30
2019-10-07,19
2019-10-14,12
2019-10-21,48
2019-10-28,55
2019-11-04,67
2019-11-11,53
2019-11-18,22
2019-11-25,17
2019-12-02,21
2019-12-09,24
2019-12-16,24
2019-12-23,9
2019-12-30,21
2020-01-06,24
2020-01-13,29
2020-01-20,33
2020-01-27,18
2020-02-03,27
2020-02-10,23
2020-02-17,25
2020-02-24,18
2020-03-02,39
2020-03-09,41
2020-03-16,26
2020-03-23,26
2020-03-30,43
2020-04-06,58
2020-04-13,47
2020-04-20,58
2020-04-27,29
2020-05-04,25
2020-05-11,13
2020-05-18,14
2020-05-25,10
2020-06-01,19
2020-06-08,17
2020-06-15,17
2020-06-22,10
2020-06-29,13
2020-07-06,13
2020-07-13,16
2020-07-20,14
2020-07-27,7
2020-08-03,3
2020-08-10,5
2020-08-17,12
2020-08-24,14
2020-08-31,17
2020-09-07,13
2020-09-14,31
2020-09-21,30
2020-09-28,46
2020-10-05,41
2020-10-12,50
2020-10-19,14
2020-10-26,23
2020-11-02,1
