weekDate,quantity_weekly,Prediction
2018-05-28,4,0.0
2018-06-04,11,3.999965530787738
2018-06-11,8,7.387582661658998
2018-06-18,3,7.664696641286947
2018-06-25,6,7.033494093301147
2018-07-02,4,5.667540562726796
2018-07-09,6,6.025999524136942
2018-07-16,7,6.345578221598558
2018-07-23,7,6.230290020112882
2018-07-30,5,5.926627753721364
2018-08-06,4,6.252406721279415
2018-08-13,4,5.448369151221282
2018-08-20,5,4.246437148535905
2018-08-27,10,6.107462002452641
2018-09-03,10,6.762893007790511
2018-09-10,7,6.3204568011522895
2018-09-17,7,5.907188195355211
2018-09-24,4,6.463879231785722
2018-10-01,10,5.917645013532484
2018-10-08,10,8.603023949290638
2018-10-15,3,8.08224576605379
2018-10-22,7,7.493816527499004
2018-10-29,6,7.811933846345897
2018-11-05,8,4.990928802796686
2018-11-12,8,6.863678266342532
2018-11-19,10,8.514749275535607
2018-11-26,12,7.928040438925649
2018-12-03,10,7.821156289263248
2018-12-10,11,9.58268990593262
2018-12-17,4,6.798795812229866
2018-12-24,6,5.737227897206145
2018-12-31,15,9.95594400113193
2019-01-07,10,10.18629492281124
2019-01-14,8,9.992397836605392
2019-01-21,11,10.271729630770594
2019-01-28,8,8.175056503014172
2019-02-04,9,8.82144131692801
2019-02-11,9,7.957447352817988
2019-02-18,10,8.34402098423659
2019-02-25,10,11.133231067682424
2019-03-04,6,7.764391030257254
2019-03-11,3,5.166797906399399
2019-03-18,6,4.7998818842466555
2019-03-25,6,8.226811269552911
2019-04-01,16,9.48584291372315
2019-04-08,12,8.996362395873952
2019-04-15,5,9.322595298883883
2019-04-22,6,5.55274932972418
2019-04-29,6,5.2442741563650435
2019-05-06,9,9.250889215438955
2019-05-13,13,7.156450630649463
2019-05-20,6,8.143022594400595
2019-05-27,8,9.92762459766769
2019-06-03,6,5.497226828456557
2019-06-10,6,5.484969276016974
2019-06-17,6,9.564247056174159
2019-06-24,5,6.4033499056356575
2019-07-01,5,7.712459955133015
2019-07-08,10,9.253058573251115
2019-07-15,4,4.125886823313248
2019-07-22,3,3.1100850954041084
2019-07-29,2,5.541947329675583
2019-08-05,5,7.784488636957768
2019-08-12,1,4.418985142758355
2019-08-19,5,3.802106397635407
2019-08-26,8,6.279809674638437
2019-09-02,5,3.4401310625312735
2019-09-09,5,5.911196813764412
2019-09-16,9,7.262302443370341
2019-09-23,5,5.684941483705176
2019-09-30,10,8.450299234862646
2019-10-07,8,8.339996658903306
2019-10-14,5,4.618204969627377
2019-10-21,6,4.107443054326598
2019-10-28,5,8.188822568479768
2019-11-04,7,8.97290436843905
2019-11-11,7,8.427474817824873
2019-11-18,9,7.77042475415971
2019-11-25,13,7.8887433135974145
2019-12-02,12,7.304998617218773
2019-12-09,8,9.971584165402225
2019-12-16,13,10.288088753132527
2019-12-23,6,8.043919535770296
2019-12-30,5,7.544361619471092
2020-01-06,6,7.951339010637825
2020-01-13,6,8.980662472141589
2020-01-20,15,10.756162224698004
2020-01-27,4,7.031886610889582
2020-02-03,13,10.272214880540723
2020-02-10,8,7.898571829389095
2020-02-17,8,8.321409775968299
2020-02-24,10,10.715709977842787
2020-03-02,6,4.384487795161615
2020-03-09,11,4.779594551846571
2020-03-16,7,8.09362537626873
2020-03-23,14,10.377220531167222
2020-03-30,13,7.80376270006164
2020-04-06,12,11.56309512669579
2020-04-13,12,12.936791647800973
2020-04-20,6,8.514227697161036
2020-04-27,10,8.100590913101227
2020-05-04,10,11.398498853131183
2020-05-11,8,9.481708031545848
2020-05-18,2,3.9844851376696377
2020-05-25,13,8.773558205657293
2020-06-01,5,7.639313210378189
2020-06-08,8,8.422900454505225
2020-06-15,3,5.029863668756892
2020-06-22,6,6.232831512719148
2020-06-29,6,8.240668190545172
2020-07-06,3,2.9035331510824016
2020-07-13,3,7.7418793281350045
2020-07-20,3,5.623352329793571
2020-07-27,9,6.494878030858587
2020-08-03,2,2.750012968412147
2020-08-17,5,4.777289533795343
2020-08-24,7,5.261021113072716
2020-08-31,6,3.72847409362981
2020-09-07,7,8.48004499985418
2020-09-14,4,2.2483473552104964
2020-09-21,3,5.074292108145412
2020-09-28,9,8.602119537405713
2020-10-05,10,10.73485362982099
2020-10-12,4,4.186990383876418
2020-10-19,6,6.631546950982969
2020-10-26,10,8.444188838109019
2020-11-02,1,4.660519525164369
