weekDate,quantity_weekly
2018-05-28,18
2018-06-04,35
2018-06-11,32
2018-06-18,30
2018-06-25,21
2018-07-09,3
2018-07-23,2
2018-08-06,2
2018-08-13,2
2018-08-20,3
2018-09-03,8
2018-09-10,3
2018-09-17,2
2018-09-24,4
2018-10-01,2
2018-10-08,9
2018-10-15,6
2018-10-22,13
2018-10-29,9
2018-11-05,36
2018-11-12,41
2018-11-19,20
2018-11-26,21
2018-12-03,15
2018-12-10,14
2018-12-17,17
2018-12-24,13
2018-12-31,12
2019-01-07,9
2019-01-14,13
2019-01-21,11
2019-01-28,9
2019-02-04,14
2019-02-11,12
2019-02-18,10
2019-02-25,10
2019-03-04,8
2019-03-11,9
2019-03-18,8
2019-03-25,7
2019-04-01,30
2019-04-08,37
2019-04-15,30
2019-04-22,22
2019-04-29,26
2019-05-06,11
2019-05-13,10
2019-05-20,6
2019-05-27,5
2019-06-03,12
2019-06-10,11
2019-06-17,5
2019-06-24,4
2019-07-01,11
2019-07-08,3
2019-07-15,5
2019-07-22,7
2019-07-29,3
2019-08-05,4
2019-08-12,6
2019-08-19,7
2019-08-26,5
2019-09-02,11
2019-09-09,5
2019-09-16,8
2019-09-23,7
2019-09-30,8
2019-10-07,9
2019-10-14,11
2019-10-21,28
2019-10-28,26
2019-11-04,33
2019-11-11,26
2019-11-18,11
2019-11-25,10
2019-12-02,8
2019-12-09,14
2019-12-16,9
2019-12-23,11
2019-12-30,10
2020-01-06,12
2020-01-13,11
2020-01-20,17
2020-01-27,13
2020-02-03,13
2020-02-10,10
2020-02-17,6
2020-02-24,9
2020-03-02,14
2020-03-09,12
2020-03-16,26
2020-03-23,17
2020-03-30,50
2020-04-06,36
2020-04-13,37
2020-04-20,42
2020-04-27,9
2020-05-04,12
2020-05-11,8
2020-05-18,10
2020-05-25,10
2020-06-01,13
2020-06-08,5
2020-06-15,12
2020-06-22,12
2020-06-29,14
2020-07-06,4
2020-07-13,4
2020-07-20,7
2020-07-27,5
2020-08-03,7
2020-08-10,2
2020-08-17,6
2020-08-24,8
2020-08-31,10
2020-09-07,5
2020-09-14,26
2020-09-21,27
2020-09-28,14
2020-10-05,19
2020-10-12,26
2020-10-19,9
2020-10-26,11
2020-11-02,2
